Serie,Metodo,RMSE,MAE,sMAPE,R2
Cluster 0,SARIMA,1.5101,1.0562,34.77,0.6564
Cluster 0,XGBoost,1.4393,1.0514,35.92,0.6879
Cluster 0,N-BEATS,1.4967,1.0293,35.04,0.6625
Cluster 1,SARIMA,1.5855,1.1622,38.84,0.764
Cluster 1,XGBoost,1.6251,1.1698,38.29,0.7521
Cluster 1,N-BEATS,2.082,1.5364,43.67,0.593
Cluster 2,SARIMA,0.8224,0.6246,30.56,0.8296
Cluster 2,XGBoost,0.8062,0.6277,30.03,0.8362
Cluster 2,N-BEATS,0.9029,0.6486,29.77,0.7945
Departamental,SARIMA,0.8035,0.5886,22.04,0.8719
Departamental,XGBoost,0.8703,0.6412,23.53,0.8497
Departamental,N-BEATS,0.8424,0.5963,21.8,0.8592
